token_id,block_timestamp,block_number,transaction_index,liquidity_change,liquidity,transaction_hash
382812,2022-12-05T04:56:23,16116352,122,115491941553896233,115491941553896233,0xc067762981c3c894a38ce4a541bae4800a388fe94b681b30296605396206dba8
383131,2022-12-05T15:09:11,16119403,4,114451856137854163,114451856137854163,0x5efd16267ee96b597423f61c088c5031fe946329c1f0cbedca325e5de80779e4
382812,2022-12-05T15:09:11,16119403,4,-115491941553896233,0,0x5efd16267ee96b597423f61c088c5031fe946329c1f0cbedca325e5de80779e4
316856,2022-12-06T02:36:47,16122806,163,-3013877260508,0,0x8e1e65bfd3b735892d69bdefe443ef218be3e25e6d5843fe9b8cd48a68e19e52
363766,2022-12-06T09:22:47,16124828,66,-9169315997170745,0,0xf8cda6f91de871417bd690d244a2593cc65a1723744c13baf9154e6d615e0109
383702,2022-12-06T09:34:47,16124887,103,39754128360911821,39754128360911821,0x28d7493e5754845d908ac058d296a019a4ef42e2f5ccc1bd6421b2c5043934d6
383742,2022-12-06T10:40:59,16125218,52,23133640960521,23133640960521,0xf2859cda419700cfb2d8406235b9d4c322b63a4fed6aff1045a54ea7ace9a272
383742,2022-12-06T11:16:35,16125395,104,-23133640960521,0,0x21ce67f509925ff67c3b457d68f0a15929ccb09ed71f7c43aac0ddec5266faf4
383866,2022-12-06T15:08:23,16126549,132,116796610057872072,116796610057872072,0xd836bbcb98f1d5709f20a9e4a37bfa3a620383020cb511385b93be4efebef76b
383131,2022-12-06T15:08:23,16126549,132,-114451856137854163,0,0xd836bbcb98f1d5709f20a9e4a37bfa3a620383020cb511385b93be4efebef76b
384005,2022-12-06T19:58:23,16127993,109,795507452995838,795507452995838,0xa3a05e27eefa9aa882c1ebd67107836be0f07d93e5a7839186b978eca8994186
383866,2022-12-06T23:33:11,16129063,215,-116796610057872072,0,0x52eb787c751f202da7b5c2ffedaa78dcace6eb00de51c9f822a2dca8000adb31
384114,2022-12-06T23:33:11,16129063,215,116959804717689551,116959804717689551,0x52eb787c751f202da7b5c2ffedaa78dcace6eb00de51c9f822a2dca8000adb31
384114,2022-12-07T07:08:11,16131263,91,-116959804717689551,0,0x034a7bd10dbccf7a397d37f95ef531b854998417a72592bb4494da631cebc716
384300,2022-12-07T07:08:11,16131263,91,116975395152370802,116975395152370802,0x034a7bd10dbccf7a397d37f95ef531b854998417a72592bb4494da631cebc716
384579,2022-12-07T13:58:47,16133274,128,119814705611307,119814705611307,0xb971671f3d20b35e861c3d4d94c40eb6505641c1a4f7731e0c632f979c194797
319686,2022-12-07T23:26:23,16136102,14,-78770323874710,0,0x335bb59164dd44801e2204e3e977852e41ca9b675a526b2f8bd5f1e9a76a3067
385170,2022-12-08T11:29:23,16139697,111,94269383413,94269383413,0xf6bb904ff347eca3b0160a9cef61339d3934a18e11620fe662fddcdc86765b72
385257,2022-12-08T13:29:11,16140291,98,2818305,2818305,0x624ecf6d63429a766293f5fff938667c8b2886c500afe4c6b4cb7d14cfcd5bd2
384005,2022-12-08T13:37:47,16140334,137,-795507452995838,0,0x892b19463bdfb7af4103e2848e0b29756744804536178c9bbb7e4c0feb639ebb
385374,2022-12-08T14:59:47,16140742,109,89396173136,89396173136,0x052a77491e57ede7d18c03b8d0e43c75c79d7935e141d48cd4016f9d222cc927
384300,2022-12-08T18:37:11,16141825,161,-116975395152370802,0,0x69d0157c88590a2e5e2bcd0ef4f31fd6848caab83049cd3bb43972ece9aa15c7
385559,2022-12-08T18:37:11,16141825,161,118355705644914044,118355705644914044,0x69d0157c88590a2e5e2bcd0ef4f31fd6848caab83049cd3bb43972ece9aa15c7
385559,2022-12-08T18:59:11,16141934,141,-118355705644914044,0,0xf83046d1f46a6e096fb2447dbf9d54f2b42d1b9737faa67929076b9003c4940c
385576,2022-12-08T18:59:11,16141934,141,111186601218718672,111186601218718672,0xf83046d1f46a6e096fb2447dbf9d54f2b42d1b9737faa67929076b9003c4940c
385674,2022-12-08T20:33:11,16142402,118,4929755042198340,4929755042198340,0xef92133c835e26cd18465703c095b0585b77290309fd1bfb86ce485270791cb6
385745,2022-12-08T22:37:47,16143022,81,1210692186755,1210692186755,0x3f1fdec89a3da126a07cd6819179d2c42fed365fcc2ddcd9276d06ce0712e238
385576,2022-12-09T01:12:23,16143791,135,-111186601218718672,0,0x23186b42abb496ef7d6679caecaab11d6d833a27be8ce31f14af7acf85170329
386203,2022-12-09T21:27:11,16149823,395,9044990115105,9044990115105,0xd7d45498c8dbf1e1248d0c045bc15ec9dae1eee5273dcd98ba57fc46c135396b
382315,2022-12-09T22:31:47,16150144,172,39882048219684,52874415619820,0xd7a0f82b0b832df7f94c22b801d8de8d14a3b1d62f966b55ae9cbb322f008025
316534,2022-12-11T21:01:23,16164018,78,-39113910327323,0,0x88dcafe0590cdfebf349d7dabf85b473d5e53d9712088cc538838d5ed4d2fe8b
387450,2022-12-12T02:18:11,16165593,38,440391064276858,440391064276858,0x5ee45988cc203cdea637d4f9003802feee7b8e0abba262d2849550daa8436ce7
382315,2022-12-12T19:17:35,16170656,237,-52874415619820,0,0x9f62e5c238caf9eb98d18181149defdb01ab0b44a776a9eef27df13836d45c82
70578,2022-12-13T05:55:11,16173829,130,-659708119217,0,0x262bca247cc1e8935d1aef07513fed30b689fa14c4421952051b3dee52e69544
363786,2022-12-13T07:27:47,16174289,90,-10002890178731722,0,0xe255afb8cd63af04f80fe91a69bbb48a516fe0ba1b64427c4829c5a5292da090
383702,2022-12-13T07:41:23,16174357,6,-39754128360911821,0,0x91a9226999b545a0b84aa1683fb9c4ca8517860dfb6061b1a1bf629f2ebb04c8
389711,2022-12-14T15:20:47,16183790,121,136604586607626,136604586607626,0x6f6d6ec528386be550e4fa91157afd5d03d999fb0dc0215ed772ecec659149b8
389711,2022-12-14T16:41:23,16184193,109,-136604586607626,0,0xe72a09cc888052a9bc454dfa9aa018b6d9afe226d2bc5ad4c8340ce8148fd94d
378473,2022-12-14T18:53:35,16184850,238,-3328143358799008,0,0x3af3ef75a1e75888c245aa33aa776df68f9d450096b9e11c030053635dc9c85e
348249,2022-12-14T21:25:35,16185609,167,-104556065839809,0,0x3af11a7be2f5f0e64d0d003d6c632ff8fc70bb1f62fe7a4327379e6cd34442f9
387450,2022-12-15T02:26:11,16187102,13,-440391064276858,0,0x74a17778d957c606ad2acd722f4cd41f40c30aa6a0ea78e9474042b574d6e12a
361111,2022-12-15T08:42:35,16188972,116,231813195487076,974343157144777,0x3df459c5fb54643619ed2d6e33871e8fff87e5915561ff7b27dadf7371ca5fe2
377957,2022-12-17T09:16:23,16203461,69,-6018336306702,0,0xa4199fb537c6cca5e441c9b2212d05854ffc37c56b52cdc14e09b263c020e694
393137,2022-12-18T19:29:59,16213679,64,188605194345288,188605194345288,0xb2fb7b5955cadc28215877dcefa386ab3a825fe2b96e3c5cfb53e97e707f5d5c
386203,2022-12-18T22:22:11,16214533,59,-9044990115105,0,0x715e1712063174f9241b5b41c7584b235d729722759609a5d1811121db91219c
385674,2022-12-19T19:57:35,16220980,99,-4929755042198340,0,0x6266d0b878e365921697ed3f4d80eab8e5ac3022c120f4abe8f3a679eeabd194
393948,2022-12-19T20:00:59,16220997,77,3509749582058262,3509749582058262,0xe0152bf1fbb0f461ba52a9f3fa4d4d708408d8987b8d74df840d78cba4339ad7
394141,2022-12-20T01:59:47,16222778,63,18465479201093304,18465479201093304,0x0e55b033eccd32ab13b7a2f532c622efd324695e5a78b0680ab607e5543db0a9
394141,2022-12-20T12:13:23,16225832,106,-18465479201093304,0,0x8154f6e0f9b0d81d88da9dc790070c9a187cd885d85879d3e1fdb90086a2a710
394522,2022-12-20T12:18:35,16225858,62,9180263447162548,9180263447162548,0x27e5d1d0475541492ff752ba56757106e0b55c064f3baa7f0e17c8f3837b3069
398487,2022-12-26T10:05:11,16268218,75,61451733378976,61451733378976,0x97c1e2f22be79134d8e96aa86a1868a9cd57f36eb9948ee415a9957f921b9d06
398605,2022-12-26T14:55:23,16269657,118,93330055716,93330055716,0xcd16d847c343dae29ab32a9b127fbb36a04742fdaad05b2b5ccf0b329cdbe2b2
399691,2022-12-28T03:46:11,16280653,144,2989675407099538,2989675407099538,0x0b18313f554e9a6f749d59cab49d8289f40c6b22f6b86fd22150429992d746fe
400026,2022-12-28T15:25:47,16284135,138,4066192417465,4066192417465,0x5de889494f6c3236e3e7e4a9de20506c0b4561fe0bf563c5cbfbb7d7f4d074b4
384579,2022-12-28T18:52:23,16285164,100,-119814705611307,0,0x026cfc60eca0fe8e3d3121d546c1d47d3b8c0cdc970d4c6acc900071ed260f30
393137,2022-12-29T16:51:11,16291722,101,-188605194345288,0,0xf57db0e5bd078fed3cdeddce996bd9f85953f9f61ac596a23c9c12e23931c0dd
256160,2022-12-30T01:05:59,16294187,92,-2543636489639333,0,0x46b2f4ec186828ea80c4d8cd0172b6d49939fe880d067d6b5f7cd2b70c0e328e
398487,2023-01-02T03:53:35,16316528,21,-61451733378976,0,0x596fef26f15f3129788bd9d73a8132b81f70145d059799e6ab5ee72392c0d80a
403309,2023-01-02T14:09:11,16319590,97,97699287434542,97699287434542,0x2050f9e90f285639e52f3c2cc86e5a9b7204ba3fd301fda323791004c617169b
403309,2023-01-03T08:09:23,16324968,78,-48849643717271,48849643717271,0x3ed75841991f7021284de24b5c7ce854559d6d3922d787cb808365c852b3ac8c
332328,2023-01-03T15:24:47,16327136,132,-4503381199248,0,0x0c4de9ead08866cc62d4f55c5c2e36ec9396e76764ed8e35164a1c9b48c5af64
358025,2023-01-03T23:11:23,16329457,76,-95311667653908991,0,0x7747fe0d4ee234927113d2c1aa675194b8156e1000dd44b70b77a01d0953d8f3
394522,2023-01-04T23:30:59,16336725,265,-9180263447162548,0,0xfd0e044fa15f685b6b66f9798c8207d2408cec083867484796437c6cd2cfc23c
404963,2023-01-04T23:48:23,16336812,194,7522025261392378,7522025261392378,0x19eab85f918901027c90f92037f850ea9ea4ac334bd136470632fbe8f81b3957
405013,2023-01-05T01:54:47,16337440,28,4496151287023247,4496151287023247,0x63c2e88e0b43dff1fe3ccf88aa12bdcd5a31abd558275303ad7599a313b71577
405379,2023-01-05T16:45:47,16341869,137,1207233472257754,1207233472257754,0x979e2287a00af94821fed3b312b0c86e09b22106a081e1721065b8716f42088e
405379,2023-01-05T16:51:23,16341897,46,217302025006394,1424535497264148,0xd9c7ace901829203f9a2bc6aef2decd0b99112c3b10d43c87e6cb02ac5698c79
406310,2023-01-07T01:31:59,16351642,56,720964874915721,720964874915721,0x93e3f8b30d15539a3db593d582350587954d34faa424d16a4beeef79fa73e0df
406310,2023-01-07T01:34:23,16351654,54,-720964874915721,0,0x20d48c6ae04e531f42bef19e117e17b8eb84987f0c94ff3e06a0fc72c737935d
407251,2023-01-08T15:39:59,16363020,60,97189980723149,97189980723149,0x4f0ec019f1a0e5802e0b46bdee426177c4a67ea1b98a2853ba845ea7250576bf
404963,2023-01-08T23:26:47,16365345,87,-7522025261392378,0,0x09bb7d5eb628b5a2cf057ba09dbeba8d22ee1a013989c58a80c632ff43cb6735
407605,2023-01-09T02:33:23,16366278,81,3899290013696,3899290013696,0x07ab85521af1300c7db8928ef3754ef04f5b75966f501226f2e883e5e8140e3b
407610,2023-01-09T02:39:59,16366311,48,3856915528818,3856915528818,0x9f2b303d4a350ef9b725cae0c4d20843d2c4a0d2bb7ee9c290016f18b1a8ab24
407610,2023-01-09T02:43:35,16366329,69,-3856915528818,0,0x1f43ec8a66580cb297d59fb1c0bd26a2133107812814d25745c8559281e92eda
