pair_id,exchange_id,address,token0_address,token1_address,token0_symbol,token1_symbol,dex_type,base_token_symbol,quote_token_symbol,token0_decimals,token1_decimals,exchange_slug,exchange_address,pair_slug,fee
3202809,1,0x68733d46d6c2fa7d0d37412d6f46d32b51a8c652,0x0dc2d7b18345568414b355dcf4d18c562f3ad5c9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,uniswap_v2,WETH,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-eth-17,30
3202821,1,0x83a7b7a3e7697b2e062311083e8f2b26d739e261,0x60e129f47743d1a11a846e808b3030335c559c0d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v2,WBTC,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-eth-2,30
3202845,1,0xd291ad206b0be4b4e6525e7a988f8a97a6d8544f,0x65811e191b232860bad54b63dcc0864c4075c80d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v2,WBTC,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-eth-3,30
3203595,1,0xbb0fb04fec96ba6facd369396af09992898960e6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeac41b86fbf958c7bad22ed31a3c27f9c81e9d17,WETH,WBTC,uniswap_v2,WBTC,WETH,18,9,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-eth-4,30
3224240,3681,0x07a72f8f6a29cf501e7226ca82264f9ee79380e7,0x9abc68b33961268a3ea4116214d7039226de01e1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH,uniswap_v3,USDC,WETH,18,18,uniswap-v3,0x1f98431c8ad98523631ae4a59f267346ea31f984,usdc-eth-fee-100,100
3224409,1,0x629f1a2ab89e6bf8c7034cbcd2311fd6ac059d44,0x95e427d38fe68b2653e75e11410262063f22c3fc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-15,30
3224615,1,0xad6cfe74ad213b1809b3574468f5a1944bd86af6,0x46ebf754d1bb0ce42dff0242c6fbcc7a789c2f6c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH,uniswap_v2,USDC,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdc-eth-7,30
3224764,1,0x569272f2042c4c7018742a13137e1a7d9b674311,0xa1ccf27fb1902fdf1380c858226e6e6e9ea6ef91,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,WETH,uniswap_v2,USDT,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-eth-16,30
3270434,1,0xa7a822b3ff83578cb853824672d593ddef370251,0x078ccf09ab118f3aef5f6d8922fc8b7d0fe7a6e7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,uniswap_v2,WETH,WETH,9,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-eth-21,30
3273000,1,0xbb7205f47d05ac37e08c35618ca131ebbe41c6b7,0x816b3e3457de0434bf085d815e1a6338b6feef23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v2,WBTC,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-eth-5,30
